id,name,description,cpu_class,socket,clock_speed,turbo_speed,cores,threads,total_cores,primary_cores,secondary_cores,performance_cores,efficient_cores,typical_tdp,tdp_down,tdp_up,cache_per_cpu_package,cache_per_effective_cpu_package,memory_support,other_names,first_seen_on_charts,cpu_mark_per_dollar_price,overall_rank,last_price_change,multi_thread_rating,single_thread_rating,num_samples,margin_for_error,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,relative_gaming_score
1,Intel Core i7-2600 @ 3.40GHz,,Desktop,LGA1155,3.4 GHz,3.8 GHz,4,8,,,,,,95 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,,"Intel(R) Core(TM) i7-2600 CPU @ 3.40GHz, Intel Core i7-2600 CPU @ 3.40GHz",Q4 2010,28.20,2039th fastest in multithreading out of 5149 CPUs; 2071st fastest in single threading out of 5149 CPUs; 575th fastest in out of 1449 Desktop CPUs,$189.69 USD (2025-05-30),5350,1737,11020,Low,"20,811 MOps/Sec","7,773 MOps/Sec",25 Million Primes/Sec,"13,093 Thousand Strings/Sec","1,604 MBytes/Sec","90,402 KBytes/Sec",375 Frames/Sec,"3,965 Million Matrices/Sec",641
2,Intel Core i7-3770K @ 3.50GHz,,Desktop,LGA1155,3.5 GHz,3.9 GHz,4,8,,,,,,77 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,,"Intel(R) Core(TM) i7-3770K CPU @ 3.50GHz, Intel Core i7-3770K CPU @ 3.50GHz",Q2 2012,32.25,1794th fastest in multithreading out of 5149 CPUs; 1541st fastest in single threading out of 5149 CPUs; 527th fastest in out of 1449 Desktop CPUs,$200.98 USD (2025-06-12),6481,2072,10013,Low,"23,079 MOps/Sec","11,678 MOps/Sec",30 Million Primes/Sec,"14,207 Thousand Strings/Sec","1,887 MBytes/Sec","105,986 KBytes/Sec",472 Frames/Sec,"4,499 Million Matrices/Sec",788
3,Intel Core i5-450M @ 2.40GHz,,Laptop,PGA988A,2.4 GHz,2.7 GHz,2,4,,,,,,35 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 2 x 256 KB; L3 Cache: 3 MB,,,"Intel(R) Core(TM) i5 CPU M 450 @ 2.40GHz, Intel(R) Core(TM) i5 CPU       M 450  @ 2.40GHz, Intel Core i5 CPU       M 450  @ 2.40GHz",Q2 2010,39.28,3775th fastest in multithreading out of 5149 CPUs; 3348th fastest in single threading out of 5149 CPUs; 917th fastest in out of 1491 Laptop CPUs,$31.95 USD (2016-08-27),1255,1051,647,Low,"6,513 MOps/Sec","2,896 MOps/Sec",8 Million Primes/Sec,"3,655 Thousand Strings/Sec",231.6 MBytes/Sec,"27,080 KBytes/Sec",156 Frames/Sec,744 Million Matrices/Sec,251
5,Intel Core2 Duo E8500 @ 3.16GHz,,Desktop,LGA775,3.2 GHz,,2,2,,,,,,65 W,,,L1 Instruction Cache: 2 x 32 KB; L1 Data Cache: 2 x 32 KB; L2 Cache: 1 x 6144 KB,,,"Intel(R) Core(TM)2 Duo CPU E8500 @ 3.16GHz, Intel(R) Core(TM)2 CPU E8500 @ 3.16GHz, Intel Core2 Duo CPU     E8500  @ 3.16GHz",Q4 2008,11.76,3744th fastest in multithreading out of 5149 CPUs; 2778th fastest in single threading out of 5149 CPUs; 1131st fastest in out of 1449 Desktop CPUs,$109.95 USD (2025-02-27),1293,1323,2510,Low,"5,599 MOps/Sec","3,284 MOps/Sec",10 Million Primes/Sec,"3,592 Thousand Strings/Sec",325.8 MBytes/Sec,"26,702 KBytes/Sec",155 Frames/Sec,462 Million Matrices/Sec,244
6,Intel Core i7-860 @ 2.80GHz,,Desktop,LGA1156,2.8 GHz,3.5 GHz,4,8,,,,,,95 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 8 MB,,,"Intel(R) Core(TM) i7 CPU 860 @ 2.80GHz, Intel(R) Core(TM) i7 CPU         860  @ 2.80GHz",Q3 2009,75.54,2681st fastest in multithreading out of 5149 CPUs; 2771st fastest in single threading out of 5149 CPUs; 789th fastest in out of 1449 Desktop CPUs,$40.00 USD (2025-04-20),3022,1327,4271,Low,"15,999 MOps/Sec","6,858 MOps/Sec",22 Million Primes/Sec,"8,770 Thousand Strings/Sec",564.2 MBytes/Sec,"65,214 KBytes/Sec",359 Frames/Sec,"1,860 Million Matrices/Sec",560
7,AMD Phenom II X4 945,,Desktop,AM3,3.0 GHz,,4,4,,,,,,125 W,,,L1 Instruction Cache: 4 x 64 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 512 KB; L3 Cache: 6 MB,,,AMD Phenom(tm) II X4 945 Processor,Q2 2009,54.82,2994th fastest in multithreading out of 5149 CPUs; 2939th fastest in single threading out of 5149 CPUs; 869th fastest in out of 1449 Desktop CPUs,$44.04 USD (2024-07-26),2414,1235,1675,Low,"7,130 MOps/Sec","5,270 MOps/Sec",14 Million Primes/Sec,"6,559 Thousand Strings/Sec",638.8 MBytes/Sec,"52,676 KBytes/Sec",202 Frames/Sec,"1,235 Million Matrices/Sec",340
8,Intel Core i7-3820 @ 3.60GHz,,Desktop,LGA2011,3.6 GHz,3.8 GHz,4,8,,,,,,130 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 4 x 256 KB; L3 Cache: 10 MB,,,"Intel(R) Core(TM) i7-3820 CPU @ 3.60GHz, Intel Core i7-3820 CPU @ 3.60GHz",Q1 2012,16.52,1927th fastest in multithreading out of 5149 CPUs; 2059th fastest in single threading out of 5149 CPUs; 552nd fastest in out of 1449 Desktop CPUs,$349.88 USD (2025-02-26),5781,1743,3154,Low,"21,958 MOps/Sec","8,196 MOps/Sec",29 Million Primes/Sec,"13,969 Thousand Strings/Sec","1,726 MBytes/Sec","94,644 KBytes/Sec",522 Frames/Sec,"4,204 Million Matrices/Sec",863
9,Intel Core2 Quad Q8300 @ 2.50GHz,,Desktop,LGA775,2.5 GHz,,4,4,,,,,,95 W,,,L1 Instruction Cache: 4 x 32 KB; L1 Data Cache: 4 x 32 KB; L2 Cache: 2 x 2048 KB,,,"Intel(R) Core(TM)2 Quad CPU Q8300 @ 2.50GHz, Intel(R) Core(TM)2 Quad CPU    Q8300  @ 2.50GHz, Intel Core2 Quad CPU    Q8300  @ 2.50GHz",Q1 2009,24.12,3299th fastest in multithreading out of 5149 CPUs; 3326th fastest in single threading out of 5149 CPUs; 980th fastest in out of 1449 Desktop CPUs,$79.10 USD (2024-05-07),1908,1062,2114,Low,"9,156 MOps/Sec","5,226 MOps/Sec",7 Million Primes/Sec,"5,567 Thousand Strings/Sec",509.9 MBytes/Sec,"42,008 KBytes/Sec",144 Frames/Sec,741 Million Matrices/Sec,147
10,AMD A10-4600M APU,,Laptop,FS1r2,2.3 GHz,3.2 GHz,4 (in 2 physical modules),,,,,,,35 W,,,L1 Instruction Cache: 4 x 16 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 2048 KB,,,AMD A10-4600M APU with Radeon(tm) HD Graphics,Q2 2012,26.98,3278th fastest in multithreading out of 5149 CPUs; 3286th fastest in single threading out of 5149 CPUs; 770th fastest in out of 1491 Laptop CPUs,$72.02 USD (2024-05-25),1943,1080,1097,Low,"12,843 MOps/Sec","3,523 MOps/Sec",10 Million Primes/Sec,"3,985 Thousand Strings/Sec",576.6 MBytes/Sec,"30,680 KBytes/Sec",212 Frames/Sec,784 Million Matrices/Sec,387
11,AMD A10-4655M APU,,Laptop,FP2,2.0 GHz,2.8 GHz,4 (in 2 physical modules),,,,,,,25 W,,,L1 Instruction Cache: 4 x 16 KB; L1 Data Cache: 4 x 64 KB; L2 Cache: 4 x 2048 KB,,,AMD A10-4655M APU with Radeon(tm) HD Graphics,Q3 2012,NA,3482nd fastest in multithreading out of 5149 CPUs; 3676th fastest in single threading out of 5149 CPUs; 831st fastest in out of 1491 Laptop CPUs,NA,1651,896,165,Low,"11,198 MOps/Sec","2,961 MOps/Sec",8 Million Primes/Sec,"3,469 Thousand Strings/Sec",488.6 MBytes/Sec,"26,647 KBytes/Sec",166 Frames/Sec,674 Million Matrices/Sec,308
